source_path,api_kind,product,platform,version,generator_hint,target_strategy,target_path,status,risk,blocker,notes
docs-api-reference/agora-product/classroom-api.mdx,api-reference-mdx,agora-product,,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,,blocked,high,API Reference ownership/source strategy must be confirmed before assigning final target path.,generated=2026-07-02T10:27:25.467Z
docs-api-reference/agora-product/sample-api.mdx,api-reference-mdx,agora-product,,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,,blocked,high,API Reference ownership/source strategy must be confirmed before assigning final target path.,generated=2026-07-02T10:27:25.467Z
docs-api-reference/agora-product/scenario-api.mdx,api-reference-mdx,agora-product,,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,,blocked,high,API Reference ownership/source strategy must be confirmed before assigning final target path.,generated=2026-07-02T10:27:25.467Z
docs-api-reference/aigc/aigcservice.android.mdx,api-reference-mdx,aigc,android,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,,blocked,high,API Reference ownership/source strategy must be confirmed before assigning final target path.,generated=2026-07-02T10:27:25.467Z
docs-api-reference/aigc/aigcservice.ios.mdx,api-reference-mdx,aigc,ios,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,,blocked,high,API Reference ownership/source strategy must be confirmed before assigning final target path.,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/baseresponse.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/baseresponse.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/basicauthcredential.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/basicauthcredential.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/client.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/client.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/enum.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/enum.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/individualrecording.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/individualrecording.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/mixrecording.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/mixrecording.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/overview.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/overview.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/response.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/response.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/samplelogger.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/samplelogger.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/struct.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/struct.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/go-api/webrecording.go.mdx,api-reference-mdx,cloud-recording,go,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/go-api/webrecording.go.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/java-api/basicauthcredential.java.mdx,api-reference-mdx,cloud-recording,java,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/java-api/basicauthcredential.java.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/java-api/cloudrecordingclient.java.mdx,api-reference-mdx,cloud-recording,java,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/java-api/cloudrecordingclient.java.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
docs-api-reference/cloud-recording/java-api/enum.java.mdx,api-reference-mdx,cloud-recording,java,,hand-authored-api-mdx,migrate as authored API reference Markdown after IA confirmation,content/docs/zh-CN/api-reference/cloud-recording/java-api/enum.java.mdx,needs_review,medium,,generated=2026-07-02T10:27:25.467Z
